Player	Pos	Age	Team	MP	O-PIPM	D-PIPM	PIPM
Emmanuel Mudiay	PG	22	NYK	1,607	+0.79	-1.81	-1.02
Georges Niang	PF	25	UTA	571	+0.21	-1.24	-1.03
Terrance Ferguson	SG	20	OKC	2,059	-0.47	-0.56	-1.03
Deonte Burton	SG	25	OKC	244	-1.61	+0.57	-1.03
Jaylen Brown	SG	22	BOS	2,187	-0.80	-0.25	-1.05
Juan Hernangomez	PF	23	DEN	1,358	-0.82	-0.24	-1.06
Harry Giles	PF	20	SAC	820	-1.23	+0.17	-1.06
Treveon Graham	SG	25	BRK	794	-0.78	-0.33	-1.11
Keita Bates-Diop	SF	23	MIN	503	-1.17	+0.06	-1.11
Lance Stephenson	SG	28	LAL	1,123	-0.12	-1.00	-1.12
Doug McDermott	SF	27	IND	1,369	+0.06	-1.18	-1.12
Jaylen Adams	PG	22	ATL	428	-1.10	-0.02	-1.12
Marcin Gortat	C	34	LAC	751	-1.68	+0.56	-1.13
Anthony Tolliver	PF	33	MIN	1,079	-1.22	+0.09	-1.14
D.J. Wilson	PF	22	MIL	925	-1.29	+0.15	-1.14
T.J. McConnell	PG	26	PHI	1,545	-0.71	-0.43	-1.14
Lorenzo Brown	PG	28	TOR	212	-1.49	+0.34	-1.15
Isaiah Thomas	SG	29	DEN	181	-0.57	-0.59	-1.16
Dwyane Wade	SG	37	MIA	1,885	+0.81	-1.97	-1.17
Anfernee Simons	SG	19	POR	153	-0.31	-0.86	-1.17
Markieff Morris	PF	29	TOT	1,329	-0.61	-0.57	-1.17
Rajon Rondo	PG	32	LAL	1,369	-0.14	-1.04	-1.18
Amir Johnson	C	31	PHI	549	-0.99	-0.21	-1.19
Sindarius Thornwell	SG	24	LAC	325	-2.76	+1.56	-1.20
Wesley Iwundu	SF	24	ORL	1,293	-1.44	+0.24	-1.20
Frank Mason	PG	24	SAC	435	-0.11	-1.09	-1.20
Terry Rozier	PG	24	BOS	1,953	-1.05	-0.16	-1.20
Tony Snell	SF	27	MIL	1,332	-0.20	-1.01	-1.21
Tim Frazier	PG	28	TOT	1,16	-0.25	-0.96	-1.21
Alec Burks	SG	27	TOT	1,375	-0.61	-0.62	-1.22
Deng Adel	SF	21	CLE	194	-1.15	-0.08	-1.23
Jerian Grant	PG	26	ORL	953	-1.06	-0.20	-1.25
Josh Jackson	SG	21	PHO	1,988	-1.57	+0.31	-1.26
Damion Lee	SG	26	GSW	375	-0.57	-0.70	-1.27
Dairis Bertans	SG	29	NOP	167	-0.82	-0.46	-1.28
Chasson Randle	PG	25	WAS	743	-0.60	-0.69	-1.29
Meyers Leonard	C	26	POR	1,048	+0.13	-1.42	-1.30
Jerome Robinson	SG	21	LAC	366	-0.78	-0.52	-1.30
Mohamed Bamba	C	20	ORL	766	-2.40	+1.10	-1.30
Allen Crabbe	SG	26	BRK	1,133	-0.84	-0.47	-1.31
Marco Belinelli	SG	32	SAS	1,946	+0.88	-2.20	-1.31
James Ennis	SF	28	TOT	1,462	-0.58	-0.75	-1.33
Joe Harris	SG	27	BRK	2,442	+0.88	-2.26	-1.38
Rodney McGruder	SG	27	MIA	1,55	-0.73	-0.66	-1.39
Cameron Payne	PG	24	TOT	712	-0.93	-0.50	-1.42
John Jenkins	SG	27	TOT	333	-0.24	-1.19	-1.43
Norman Powell	SG	25	TOR	1,492	-0.84	-0.61	-1.44
Cristiano Felicio	C	26	CHI	746	-0.34	-1.11	-1.44
Allonzo Trier	SG	23	NYK	1,459	-0.57	-0.87	-1.45
Semi Ojeleye	PF	24	BOS	628	-0.80	-0.65	-1.45
Dante Exum	PG	23	UTA	664	-0.44	-1.05	-1.49
Will Barton	SG	28	DEN	1,517	-0.80	-0.73	-1.53
Chandler Parsons	SF	30	MEM	496	-1.15	-0.40	-1.55
Jordan Bell	C	24	GSW	894	-1.75	+0.19	-1.56
Brandon Knight	PG	27	TOT	736	-0.85	-0.74	-1.59
Jeremy Lin	PG	30	TOT	1,463	-1.28	-0.31	-1.60
Zach Collins	C	21	POR	1,631	-1.87	+0.22	-1.64
Evan Turner	PG	30	POR	1,85	-1.28	-0.39	-1.67
Seth Curry	SG	28	POR	1,725	-0.94	-0.74	-1.68
Justin Holiday	SG	29	TOT	2,607	-1.73	+0.04	-1.69
Tyrone Wallace	PG	24	LAC	639	-2.07	+0.35	-1.72
Mike Scott	PF	30	TOT	1,588	-1.11	-0.61	-1.72
Isaiah Briscoe	PG	22	ORL	559	-1.89	+0.15	-1.74
C.J. Miles	SF	31	TOT	856	-1.03	-0.72	-1.75
Caleb Swanigan	PF	21	TOT	178	-1.79	+0.01	-1.78
Frank Ntilikina	PG	20	NYK	904	-1.66	-0.15	-1.82
Alex Abrines	SG	25	OKC	588	-1.62	-0.20	-1.82
Dante Cunningham	PF	31	SAS	941	-1.93	+0.10	-1.83
Glenn Robinson	SF	25	DET	646	-1.66	-0.17	-1.83
Austin Rivers	SG	26	TOT	2,243	-0.97	-0.87	-1.84
Carmelo Anthony	PF	34	HOU	294	-1.25	-0.59	-1.84
Moritz Wagner	C	21	LAL	446	-1.81	-0.07	-1.88
Wesley Matthews	SF-SG	32	TOT	2,21	-0.42	-1.48	-1.91
Dillon Brooks	SF	23	MEM	330	-1.19	-0.73	-1.91
Shaun Livingston	PG	33	GSW	1,289	-1.78	-0.14	-1.92
Ian Clark	SG	27	NOP	973	-0.81	-1.13	-1.94
Cedi Osman	SF	23	CLE	2,444	-0.25	-1.70	-1.95
Sviatoslav Mykhailiuk	SF	21	TOT	440	-0.67	-1.29	-1.96
Elie Okobo	PG	21	PHO	958	-1.60	-0.36	-1.96
Isaiah Canaan	PG	27	TOT	629	-0.89	-1.09	-1.98
MarShon Brooks	SG	30	MEM	387	-0.53	-1.49	-2.02
Alfonzo McKinnie	SF	26	GSW	1,238	-1.17	-0.86	-2.03
Wesley Johnson	SF	31	TOT	534	-2.17	+0.13	-2.05
Rodney Hood	SG	26	TOT	2,266	-0.89	-1.17	-2.06
Antonio Blakeney	SG	22	CHI	829	-0.59	-1.47	-2.06
Greg Monroe	C	28	TOT	570	-1.30	-0.78	-2.08
Stanley Johnson	SF	22	TOT	1,208	-2.89	+0.77	-2.13
Jamal Crawford	SG	38	PHO	1,211	-0.21	-2.00	-2.21
Channing Frye	C	35	CLE	341	-1.01	-1.23	-2.24
Timothe Luwawu-Cabarrot	SF	23	TOT	669	-1.51	-0.74	-2.25
Sterling Brown	SG	23	MIL	1,196	-1.36	-0.89	-2.25
Jacob Evans	SG	21	GSW	222	-1.93	-0.32	-2.25
Jon Leuer	PF	29	DET	407	-2.12	-0.21	-2.32
Patrick McCaw	SG	23	TOT	445	-2.19	-0.14	-2.33
Jerryd Bayless	PG	30	MIN	657	-0.70	-1.63	-2.33
Lance Thomas	PF	30	NYK	783	-2.34	-0.00	-2.34
Marquese Chriss	PF	21	TOT	499	-1.81	-0.62	-2.43
Frank Jackson	PG	20	NOP	1,169	-0.92	-1.59	-2.50
Ryan Anderson	PF	30	TOT	322	-2.17	-0.35	-2.52
Hamidou Diallo	SG	20	OKC	526	-1.64	-0.89	-2.53
Avery Bradley	SG	28	TOT	1,905	-1.41	-1.15	-2.56
Solomon Hill	SF	27	NOP	878	-1.85	-0.70	-2.56
Wayne Selden	SG	24	TOT	1,439	-1.11	-1.50	-2.62
OG Anunoby	SF	21	TOR	1,352	-1.81	-0.82	-2.62
Shelvin Mack	PG	28	TOT	1,246	-1.24	-1.52	-2.76
Abdel Nader	SF	25	OKC	699	-2.35	-0.71	-3.06
Patrick Patterson	PF	29	OKC	861	-1.58	-1.49	-3.07
Jonathon Simmons	SG-SF	29	TOT	1,116	-2.01	-1.10	-3.11
Nik Stauskas	SG	25	TOT	1,015	-1.40	-1.74	-3.14
Kevin Knox	PF	19	NYK	2,158	-1.34	-1.82	-3.16
Collin Sexton	PG	20	CLE	2,605	-0.50	-2.68	-3.18
Jose Calderon	PG	37	DET	632	-2.68	-0.63	-3.31
Quinn Cook	PG	25	GSW	1,252	-1.22	-2.51	-3.73
Grayson Allen	SG	23	UTA	430	-1.17	-2.82	-3.99
