Year,Player,Pos,Age,Tm,G,GS,PTS,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS2
2017,Mike Tobey,C,22,CHO,2,0,2,25,-0.1,0.25,8.7,4.4,6.6,5.4,0,0,20,9,0,0,0,-0.07,-7.4,-1.5,-8.9,0,1,4,0.25,0,0,0,1,4,0.25,0.25,0,0,0,2,1,3,1,0,0,1,2,2
2017,Miles Plumlee,C,28,TOT,45,12,113,484,8.4,0.518,9,13.3,11.1,6.1,1.9,2.4,21.6,13.1,-0.1,0.5,0.5,0.045,-4.4,0.7,-3.6,-0.2,44,92,0.478,0,0,0,44,92,0.478,0.478,25,39,0.641,38,57,95,21,18,13,30,73,113
2017,Miles Plumlee,C,28,MIL,32,12,82,310,8,0.492,8.7,11.1,10,8.2,1.8,2.6,20.9,15.5,-0.2,0.3,0.1,0.021,-4.6,0.4,-4.2,-0.2,30,68,0.441,0,0,0,30,68,0.441,0.441,22,35,0.629,23,30,53,18,11,9,22,48,82
2017,Miles Plumlee,C,28,CHO,13,0,31,174,9,0.602,9.4,17.2,13.3,2.5,2,2,23.7,8.7,0.1,0.2,0.3,0.087,-3.8,1.3,-2.5,0,14,24,0.583,0,0,0,14,24,0.583,0.583,3,4,0.75,15,27,42,3,7,4,8,25,31
2017,Mindaugas Kuzminskas,SF,27,NYK,68,5,425,1016,12.4,0.533,5,8.4,6.7,10.3,1.4,0.9,11.3,19.2,0.8,0.4,1.2,0.055,-0.2,-2.5,-2.7,-0.2,158,369,0.428,54,168,0.321,104,201,0.517,0.501,55,68,0.809,47,79,126,69,29,11,51,79,425
2017,Mirza Teletovic,PF,31,MIL,70,2,451,1133,8.8,0.515,1.1,15.4,8.3,6.4,0.5,1,7.8,19.1,-0.1,0.7,0.6,0.025,-1.5,-3.4,-4.9,-0.8,156,418,0.373,104,305,0.341,52,113,0.46,0.498,35,45,0.778,11,151,162,48,12,13,37,109,451
2017,Monta Ellis,SG,31,IND,74,33,630,1998,10,0.514,1.1,10.3,5.7,17.2,2,1.2,18,16.8,-0.7,1.7,1.1,0.026,-2.5,0.2,-2.3,-0.2,247,557,0.443,43,135,0.319,204,422,0.483,0.482,93,128,0.727,19,185,204,236,79,27,135,149,630
2017,Montrezl Harrell,C,23,HOU,58,14,527,1064,19.2,0.662,8.3,14.2,11.2,9.6,0.9,3.2,9.9,17.6,3.1,1,4.1,0.183,0.8,0.2,0.9,0.8,225,345,0.652,1,7,0.143,224,338,0.663,0.654,76,121,0.628,81,138,219,64,20,42,44,126,527
2017,Myles Turner,C,20,IND,81,81,1173,2541,18.5,0.585,6.2,19.5,13,6.6,1.5,6,9.5,19.5,4.3,3.7,8,0.151,-0.3,2.7,2.4,2.8,444,869,0.511,40,115,0.348,404,754,0.536,0.534,245,303,0.809,139,448,587,106,74,173,105,262,1173
2017,Nemanja Bjelica,PF,28,MIN,65,1,403,1190,11,0.526,5.5,18.6,12,9.6,1.7,1.4,13.4,16.4,0.6,0.9,1.5,0.059,-0.7,-0.4,-1.1,0.3,151,356,0.424,56,177,0.316,95,179,0.531,0.503,45,61,0.738,57,187,244,79,40,20,59,154,403
2017,Nene Hilario,C,34,HOU,67,8,609,1198,18.9,0.63,8.6,16.9,12.8,8.6,2.2,2.7,13.1,19.7,2.5,1.6,4.1,0.165,-0.4,0.9,0.5,0.8,245,397,0.617,3,9,0.333,242,388,0.624,0.621,116,197,0.589,95,186,281,65,56,40,73,163,609
2017,Nerlens Noel,C,22,TOT,51,19,445,1047,20.4,0.622,9.8,22.3,15.9,8.1,3.1,4.1,12.5,17.6,2.1,1.9,4,0.182,-0.5,3.8,3.3,1.4,184,309,0.595,0,1,0,184,308,0.597,0.595,77,111,0.694,93,201,294,50,65,51,51,126,445
2017,Nerlens Noel,C,22,PHI,29,7,257,564,20.8,0.634,9,19.2,14.1,9,3.7,3.7,12.5,17.8,1.1,1,2.2,0.184,0.2,3.7,3.9,0.8,107,175,0.611,0,1,0,107,174,0.615,0.611,43,63,0.683,46,98,144,30,43,26,29,71,257
2017,Nerlens Noel,C,22,DAL,22,12,188,483,19.9,0.606,10.8,26,18,7,2.4,4.7,12.4,17.3,0.9,0.9,1.8,0.179,-1.3,3.9,2.6,0.6,77,134,0.575,0,0,0,77,134,0.575,0.575,34,48,0.708,47,103,150,20,22,25,22,55,188
2017,Nick Collison,PF,36,OKC,20,0,33,128,12.8,0.622,7.8,18.2,13,13.2,0.8,1.2,13.1,10.1,0.3,0.1,0.4,0.144,-1.7,-0.1,-1.8,0,14,23,0.609,0,1,0,14,22,0.636,0.609,5,8,0.625,9,21,30,12,2,2,4,17,33
2017,Nick Young,SG,31,LAL,60,60,791,1556,14.1,0.588,1.7,8.2,4.8,5.8,1.2,0.7,5.1,19.5,3,0.2,3.2,0.098,2.6,-3.4,-0.7,0.5,272,633,0.43,170,421,0.404,102,212,0.481,0.564,77,90,0.856,25,112,137,58,37,14,36,137,791
2017,Nicolas Batum,SG,28,CHO,77,77,1164,2617,15.8,0.529,1.9,18.4,10.1,27.6,1.6,1,15,22.3,1.7,2.8,4.5,0.083,0.6,0.6,1.2,2.1,393,975,0.403,135,405,0.333,258,570,0.453,0.472,243,284,0.856,46,435,481,455,86,29,194,109,1164
