name,x,y,make,zone
Ja Morant,-19,36,0,2
Ja Morant,7,16,1,2
Ja Morant,13,10,0,2
Ja Morant,-38,57,0,2
Ja Morant,-48,261,0,3
Ja Morant,-22,126,1,2
Ja Morant,-25,43,0,2
Ja Morant,-5,6,1,2
Ja Morant,-6,20,1,2
Ja Morant,-8,21,0,2
Ja Morant,-9,74,0,2
Ja Morant,10,17,0,2
Ja Morant,-232,29,0,3
Ja Morant,145,461,0,3
Ja Morant,-12,67,1,2
Ja Morant,-148,232,1,3
Ja Morant,-56,36,1,2
Ja Morant,151,201,0,3
Ja Morant,145,220,0,3
Ja Morant,12,35,1,2
Ja Morant,29,69,0,2
Ja Morant,13,110,1,2
Ja Morant,3,8,1,2
Ja Morant,85,94,1,2
Ja Morant,-120,248,0,3
Ja Morant,22,87,1,2
Ja Morant,-63,45,0,2
Ja Morant,148,276,1,3
Ja Morant,5,3,1,2
Ja Morant,25,40,1,2
Ja Morant,0,52,0,2
Ja Morant,0,-6,1,2
Ja Morant,-14,4,0,2
Ja Morant,57,111,1,2
Ja Morant,32,56,0,2
Ja Morant,65,73,0,2
Ja Morant,0,-6,1,2
Ja Morant,41,256,0,3
Ja Morant,14,23,0,2
Ja Morant,106,232,0,3
Ja Morant,-9,12,0,2
Ja Morant,0,-6,1,2
Ja Morant,-61,81,1,2
Ja Morant,-55,251,0,3
Ja Morant,-3,99,0,2
Ja Morant,43,257,0,3
Ja Morant,-157,99,1,2
Ja Morant,-17,32,0,2
Ja Morant,97,238,0,3
Ja Morant,8,29,0,2
Ja Morant,2,13,1,2
Ja Morant,25,8,0,2
Ja Morant,3,262,0,3
Ja Morant,-8,85,1,2
Ja Morant,-27,110,0,2
Ja Morant,10,13,0,2
Ja Morant,-6,18,1,2
Ja Morant,-43,38,0,2
Ja Morant,-7,23,1,2
Ja Morant,-35,74,1,2
Ja Morant,-2,7,1,2
Ja Morant,11,12,1,2
Ja Morant,-2,12,1,2
Ja Morant,8,10,0,2
Ja Morant,1,21,1,2
Ja Morant,-5,37,0,2
Ja Morant,-5,21,0,2
Ja Morant,-2,29,1,2
Ja Morant,-6,36,0,2
Ja Morant,-11,16,1,2
Ja Morant,40,27,0,2
Ja Morant,-1,22,0,2
Ja Morant,86,102,0,2
Ja Morant,-39,121,1,2
Ja Morant,-9,31,0,2
Ja Morant,11,20,1,2
Ja Morant,190,39,0,2
Ja Morant,-100,236,0,3
Ja Morant,-4,48,0,2
Ja Morant,-13,11,0,2
Ja Morant,-11,47,1,2
Ja Morant,76,242,0,3
Ja Morant,-24,153,1,2
Ja Morant,-118,16,1,2
Ja Morant,9,56,0,2
Ja Morant,7,8,1,2
Ja Morant,0,11,1,2
Ja Morant,53,141,1,2
Ja Morant,27,17,1,2
Ja Morant,-208,136,0,3
Ja Morant,-217,155,0,3
Ja Morant,-25,272,1,3
Ja Morant,9,29,0,2
