GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900690,73,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,5,52,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,3,4,1,1,20200126,MEM,PHX
Shot Chart Detail,0021900690,87,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,4,58,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-22,47,1,0,20200126,MEM,PHX
Shot Chart Detail,0021900690,238,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,7,51,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,21,114,181,1,0,20200126,MEM,PHX
Shot Chart Detail,0021900690,261,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,5,51,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,8,16,1,1,20200126,MEM,PHX
Shot Chart Detail,0021900690,410,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,7,44,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,6,1,0,20200126,MEM,PHX
Shot Chart Detail,0021900690,545,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,0,3,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-16,11,1,0,20200126,MEM,PHX
Shot Chart Detail,0021900690,560,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,11,30,Missed Shot,Driving Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-4,10,1,0,20200126,MEM,PHX
Shot Chart Detail,0021900690,579,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,10,37,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,1,37,1,1,20200126,MEM,PHX
Shot Chart Detail,0021900690,635,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,48,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-20,4,1,1,20200126,MEM,PHX
Shot Chart Detail,0021900690,665,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,5,20,Missed Shot,Pullup Jump shot,2PT Field Goal,Mid-Range,Center(C),8-16 ft.,15,-36,147,1,0,20200126,MEM,PHX
Shot Chart Detail,0021900690,678,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,2,Made Shot,Tip Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,1,20200126,MEM,PHX
Shot Chart Detail,0021900690,684,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,3,31,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Left Side Center(LC),24+ ft.,24,-133,206,1,0,20200126,MEM,PHX
Shot Chart Detail,0021900690,689,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,2,59,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-29,26,1,0,20200126,MEM,PHX
